config_name,batch_label,batch_size,learning_rate,seed,train_acc,val_acc,test_acc,macro_f1,epochs,elapsed_s
online_lr1e-01,online,1,0.1,0,0.9837382051796828,0.9368717330116606,0.8334000800961153,0.7871972086351728,87,297.721408737998
online_lr1e-01,online,1,0.1,1,0.979923710098374,0.9416968234821068,0.8358029635562675,0.7887318733028695,62,230.54110571500496
online_lr1e-01,online,1,0.1,2,0.9902629993977112,0.9384800965018094,0.8354024829795755,0.7885784120283594,78,281.1048175219985
online_lr1e-01,online,1,0.1,3,0.9851435454727966,0.9412947326095698,0.8334000800961153,0.7875251962526952,71,256.629600510998
online_lr1e-01,online,1,0.1,4,0.9824332463360772,0.9425010052271814,0.8225871045254305,0.7745160135122127,66,236.0935716460008
online_lr1e-02,online,1,0.01,0,0.9943786388275446,0.9340570969039004,0.8273928714457349,0.7805326081807894,105,338.4809233910055
online_lr1e-02,online,1,0.01,1,0.9935755872314797,0.935263369521512,0.8346015218261914,0.7884089499089628,98,309.721886733998
online_lr1e-02,online,1,0.01,2,0.9903633808472194,0.9364696421391234,0.8309971966359632,0.7840879011662075,77,258.3789862639969
online_lr1e-02,online,1,0.01,3,0.9897610921501706,0.9324487334137516,0.8257909491389668,0.7779119888600735,74,228.01617524899484
online_lr1e-02,online,1,0.01,4,0.986247741417386,0.925211097708082,0.8221866239487385,0.7739032727142577,70,214.45703717599827
online_lr1e-03,online,1,0.001,0,0.990764906645252,0.933252915158826,0.828594313175811,0.7811786616432621,316,1071.8177428240017
online_lr1e-03,online,1,0.001,1,0.9939771130295122,0.9348612786489746,0.828594313175811,0.7818589030485505,500,1706.4330076569968
online_lr1e-03,online,1,0.001,2,0.99086528809476,0.9308403699236028,0.8277933520224269,0.7803354965161691,316,979.3181277640032
online_lr1e-03,online,1,0.001,3,0.9936759686809876,0.9300361881785284,0.8261914297156588,0.779350992980292,350,1106.384094326997
online_lr1e-03,online,1,0.001,4,0.99086528809476,0.9268194611982308,0.8257909491389668,0.7791915045487554,300,994.8334864520002
online_lr1e-04,online,1,0.0001,0,0.9507127082915078,0.9139525532770406,0.7673207849419303,0.6779631126987089,500,1720.256658156
online_lr1e-04,online,1,0.0001,1,0.9518169042360972,0.914756735022115,0.7609130957148579,0.6729171268388687,500,1760.2564346110003
online_lr1e-04,online,1,0.0001,2,0.9508130897410159,0.9111379171692803,0.7645174209050861,0.6755892820334504,500,1774.6814541400004
online_lr1e-04,online,1,0.0001,3,0.950210801043967,0.9107358262967431,0.7661193432118543,0.6766246780481534,500,1673.0807821670005
online_lr1e-04,online,1,0.0001,4,0.9520176671351134,0.9207880981101729,0.7653183820584701,0.6767353945060832,500,1568.3804790119993
mini32_lr1e-01,mini32,32,0.1,0,0.9916683396908251,0.9344591877764374,0.8273928714457349,0.780535624002426,150,43.46601519599972
mini32_lr1e-01,mini32,32,0.1,1,0.993876731580004,0.9288299155609168,0.8325991189427313,0.7862498018956174,208,62.46799946499959
mini32_lr1e-01,mini32,32,0.1,2,0.9902629993977113,0.9328508242862887,0.8249899879855827,0.7768688309834288,126,37.54764653700113
mini32_lr1e-01,mini32,32,0.1,3,0.9936759686809877,0.9324487334137516,0.8249899879855827,0.7780239301361671,152,46.295623122001416
mini32_lr1e-01,mini32,32,0.1,4,0.9948805460750854,0.9336550060313631,0.8301962354825791,0.7845528387575194,222,62.90690944000016
mini32_lr1e-02,mini32,32,0.01,0,0.9682794619554307,0.9207880981101729,0.7689227072486985,0.6802952134705826,500,143.92679867100014
mini32_lr1e-02,mini32,32,0.01,1,0.9701867094960851,0.9171692802573381,0.7709251101321586,0.6883539281605414,500,140.65919552300147
mini32_lr1e-02,mini32,32,0.01,2,0.9818309576390283,0.9284278246883796,0.8077693231878253,0.753845342887981,500,150.2993507760002
mini32_lr1e-02,mini32,32,0.01,3,0.9772134109616543,0.9195818254925613,0.7805366439727673,0.7100652892668268,500,148.13255176999883
mini32_lr1e-02,mini32,32,0.01,4,0.9852439269223048,0.9276236429433052,0.8113736483780537,0.7616728202559598,500,154.76592004000122
mini32_lr1e-03,mini32,32,0.001,0,0.9126681389279261,0.893848009650181,0.750100120144173,0.6639452272974031,500,151.80061703000138
mini32_lr1e-03,mini32,32,0.001,1,0.910961654286288,0.8845999195818255,0.7517020424509411,0.6648479019570847,500,149.78380658999959
mini32_lr1e-03,mini32,32,0.001,2,0.9112627986348123,0.8986731001206273,0.7468962755306368,0.6604494261396229,500,146.63841864499955
mini32_lr1e-03,mini32,32,0.001,3,0.9105601284882554,0.8874145556895858,0.7513015618742491,0.6640426610104312,500,149.95756617299958
mini32_lr1e-03,mini32,32,0.001,4,0.9093555510941578,0.9014877362283876,0.7509010812975571,0.6639556037394041,500,150.31387309899947
mini32_lr1e-04,mini32,32,0.0001,0,0.5324232081911263,0.5375954965822276,0.46135362434921906,0.3756047852501176,500,145.88055491200066
mini32_lr1e-04,mini32,32,0.0001,1,0.5642441276852038,0.5621230398069964,0.4789747697236684,0.38726868008575094,500,142.11094100800074
mini32_lr1e-04,mini32,32,0.0001,2,0.5943585625376431,0.5958986731001207,0.5062074489387265,0.4407117760121425,500,150.44283048600118
mini32_lr1e-04,mini32,32,0.0001,3,0.5787994378638828,0.5818254925613189,0.47977573087705244,0.3965083837039568,500,154.79896265299976
mini32_lr1e-04,mini32,32,0.0001,4,0.5472796627183296,0.5468435866505831,0.4713656387665198,0.40834764672650686,500,154.49844602399935
mini64_lr1e-01,mini64,64,0.1,0,0.9909656695442682,0.9348612786489746,0.8269923908690429,0.7797173332543242,223,53.662296229000276
mini64_lr1e-01,mini64,64,0.1,1,0.9942782573780365,0.9328508242862887,0.828994793752503,0.7823851495401208,500,129.4687054549995
mini64_lr1e-01,mini64,64,0.1,2,0.9903633808472194,0.9344591877764374,0.828594313175811,0.7810608476679766,210,57.30769653199968
mini64_lr1e-01,mini64,64,0.1,3,0.9939771130295122,0.9316445516686771,0.8269923908690429,0.7800433010807222,263,65.2195722159995
mini64_lr1e-01,mini64,64,0.1,4,0.9911664324432845,0.9268194611982308,0.8261914297156588,0.7798371992377556,213,48.97743299299873
mini64_lr1e-02,mini64,64,0.01,0,0.9594458943987151,0.9199839163650985,0.7677212655186223,0.678421054116739,500,118.95668558299985
mini64_lr1e-02,mini64,64,0.01,1,0.9603493274442882,0.9155609167671894,0.7653183820584701,0.6769186993788391,500,115.69449298400104
mini64_lr1e-02,mini64,64,0.01,2,0.9606504717928127,0.9139525532770406,0.7657188626351622,0.6764652222688442,500,107.3071275580005
mini64_lr1e-02,mini64,64,0.01,3,0.9590443686006825,0.9143546441495778,0.7685222266720064,0.6792087933339245,500,109.29715792500065
mini64_lr1e-02,mini64,64,0.01,4,0.9602489459947802,0.9236027342179333,0.7661193432118543,0.6771154021246413,500,114.4326669209986
mini64_lr1e-03,mini64,64,0.001,0,0.8683999196948404,0.8612786489746683,0.7228674409291149,0.6406544638952654,500,117.86814396199952
mini64_lr1e-03,mini64,64,0.001,1,0.8586629190925517,0.837957378367511,0.71005206247497,0.6285379237368665,500,119.89979416300048
mini64_lr1e-03,mini64,64,0.001,2,0.8536438466171451,0.8516284680337757,0.7060472567080497,0.6204382600481854,500,117.13515335299962
