epoch,train_loss,val_loss,train_acc,val_acc
1,0.29023505045824455,0.31054597129872774,0.8575587231479622,0.8427824688379574
2,0.14528269028277982,0.16099594651557328,0.8995181690423609,0.8890229191797346
3,0.09268994100962563,0.11023665933371936,0.9195944589439872,0.9014877362283876
4,0.06886375283164863,0.08941744293518523,0.9346516763702067,0.9087253719340571
5,0.055430993468154346,0.07926999584901984,0.9425818108813492,0.9131483715319663
6,0.04608224184984374,0.0720173503768329,0.9498092752459345,0.9115400080418175
7,0.040012812062268574,0.07063704931351514,0.9525195743826541,0.9103337354242059
8,0.03557638555054676,0.06671316813770345,0.9574382654085525,0.9163650985122638
9,0.03117621222951926,0.06427064172481357,0.9615539048383859,0.9171692802573381
10,0.028321165617137486,0.06246152911382937,0.9635615338285485,0.9211901889827101
11,0.02626192226709296,0.06293561377100922,0.965468781369203,0.9191797346200241
12,0.023606078022647477,0.06233296883475152,0.9674764103593656,0.9175713711298753
13,0.02198987145349654,0.06231285340381142,0.9686809877534631,0.9171692802573381
14,0.02045860619697382,0.06074829559970439,0.9697851836980526,0.9215922798552473
15,0.01964045338389963,0.06071437065829328,0.9701867094960851,0.9207880981101729
16,0.018536444663869552,0.0607834450182851,0.9714916683396908,0.9227985524728589
17,0.018341394058335916,0.061626545044136,0.9710901425416583,0.9159630076397266
18,0.017150705976007433,0.061758954650238215,0.9719935755872314,0.9179734620024126
19,0.01693313466999504,0.06254237970952845,0.9720939570367396,0.9195818254925613
20,0.01605551880557342,0.061524734739931884,0.9725958642842802,0.9191797346200241
21,0.015979211798423335,0.06332473329171702,0.9727966271832965,0.914756735022115
22,0.016287396202299048,0.06303550953955464,0.9764103593655893,0.9195818254925613
23,0.01620499062994975,0.06121603271933392,0.9818309576390283,0.9223964616003216
24,0.011962512984718152,0.057490708799706226,0.9891588034531219,0.9288299155609168
25,0.008840787390869558,0.05593026840873646,0.9910660509937763,0.9316445516686771
26,0.00702125607426828,0.05304079884523205,0.9927725356354146,0.9340570969039003
27,0.006086675263690303,0.05313531026869071,0.9929732985344308,0.9332529151588259
28,0.0055290031037705705,0.053346513354519225,0.9936759686809877,0.9348612786489746
29,0.005082496782558484,0.053973129034470844,0.9942782573780365,0.9356654603940491
30,0.004803579393792155,0.05334771591025699,0.9942782573780365,0.9356654603940491
31,0.004427360310324149,0.05468508735214515,0.9942782573780365,0.9308403699236028
32,0.004286912554243805,0.05462276647204182,0.9941778759285284,0.9300361881785284
33,0.004025161496850739,0.05538926869457408,0.9946797831760691,0.9328508242862887
34,0.003751359965279762,0.05523089644310795,0.9949809275245934,0.9348612786489746
35,0.003705377781927993,0.05580222757782789,0.9948805460750854,0.9352633695215119
36,0.015157153060981041,0.06009444301242921,0.9848424011242722,0.9260152794531564
37,0.007442136865056518,0.055236970890789584,0.9921702469383658,0.9348612786489746
38,0.004253429635399012,0.055415396231051614,0.9949809275245934,0.9344591877764374
39,0.0035368320046280798,0.05392144233912601,0.9949809275245934,0.9320466425412143
40,0.003339265074770438,0.05344343652496755,0.9950813089741016,0.9352633695215119
41,0.0032321552389259498,0.053727251930837806,0.9950813089741016,0.9348612786489746
42,0.0031887887950003096,0.05417565611303342,0.9950813089741016,0.9352633695215119
43,0.0031497419399778,0.05367584518866512,0.9951816904236097,0.9364696421391234
44,0.0030398233877970424,0.05404008082530599,0.9952820718731179,0.9364696421391234
45,0.0030670854161877455,0.0542354649124019,0.9952820718731179,0.9372738238841978
46,0.002969398740610624,0.05498157513670859,0.9954828347721341,0.9356654603940491
47,0.0029329920309612463,0.054940961477827524,0.995382453322626,0.9376759147567351
48,0.0028777886768823605,0.055626704795550375,0.995382453322626,0.9372738238841978
49,0.0029096071468712173,0.05532663267764171,0.9954828347721341,0.9352633695215119
50,0.0031386797590893384,0.05720672962906434,0.9955832162216423,0.9328508242862887
51,0.009583482063752464,0.058218708582879426,0.9898614735996788,0.9340570969039003
52,0.005384869041254791,0.05623434770093964,0.9948805460750854,0.9364696421391234
53,0.0036630771401086086,0.05741476721910184,0.9954828347721341,0.9328508242862887
54,0.002892474650324722,0.05585952415282972,0.9957839791206585,0.9352633695215119
55,0.0027820339294833394,0.05442656499964771,0.9960851234691829,0.9368717330116606
56,0.0026802775936717116,0.05437517117479011,0.9959847420196748,0.9380780056292722
57,0.0025674810905142184,0.054831686901533415,0.9959847420196748,0.9384800965018094
58,0.0025189295381014883,0.05522752153711419,0.9959847420196748,0.9360675512665863
59,0.002442023094720527,0.05539497005426862,0.9962858863681991,0.9372738238841978
60,0.0025315496085560243,0.055364565549642406,0.9959847420196748,0.9364696421391234
61,0.0024113788410127547,0.055200349532569096,0.9962858863681991,0.9384800965018094
62,0.0023180142175647147,0.05545688697506232,0.9962858863681991,0.9384800965018094
63,0.0023493414362562902,0.05541073085046221,0.9962858863681991,0.9376759147567351
64,0.006366996257194232,0.06255383028105449,0.9926721541859065,0.9276236429433052
65,0.005920913550201144,0.05839654678935588,0.9942782573780365,0.9308403699236028
66,0.0032823173556416124,0.05808341482342459,0.9959847420196748,0.9332529151588259
67,0.0026981263898223085,0.05511699424244279,0.9964866492672154,0.9336550060313631
68,0.0023167748872389804,0.055823662212385834,0.9964866492672154,0.9348612786489746
69,0.0022713888513533525,0.05635718044353047,0.9964866492672154,0.9328508242862887
70,0.002157481362030546,0.05644375568467675,0.9965870307167235,0.9324487334137516
71,0.0020966404473435037,0.05631986631595747,0.9966874121662317,0.9348612786489746
72,0.002022268417119398,0.05688185645434489,0.996888175065248,0.9348612786489746
73,0.0018982881358589282,0.05689923803520645,0.996988556514756,0.9340570969039003
74,0.0019444037731354729,0.05683159454417566,0.9970889379642642,0.9352633695215119
75,0.0017826847700910945,0.057069531539117695,0.9970889379642642,0.9344591877764374
76,0.001783307566642546,0.05749332192903534,0.9972897008632805,0.9348612786489746
