config_name,optimizer,learning_rate,seed,train_acc,val_acc,test_acc,macro_f1,epochs
gd_lr1e-01,gd,0.1,0,0.9916683396908251,0.9344591877764374,0.8273928714457349,0.780535624002426,150
gd_lr1e-01,gd,0.1,1,0.993876731580004,0.9288299155609168,0.8325991189427313,0.7862498018956174,208
gd_lr1e-01,gd,0.1,2,0.9902629993977113,0.9328508242862887,0.8249899879855827,0.7768688309834288,126
gd_lr1e-01,gd,0.1,3,0.9936759686809877,0.9324487334137516,0.8249899879855827,0.7780239301361671,152
gd_lr1e-01,gd,0.1,4,0.9948805460750854,0.9336550060313631,0.8301962354825791,0.7845528387575194,222
gd_lr1e-02,gd,0.01,0,0.9682794619554307,0.9207880981101729,0.7689227072486985,0.6802952134705826,500
gd_lr1e-02,gd,0.01,1,0.9701867094960851,0.9171692802573381,0.7709251101321586,0.6883539281605414,500
gd_lr1e-02,gd,0.01,2,0.9818309576390283,0.9284278246883796,0.8077693231878253,0.753845342887981,500
gd_lr1e-02,gd,0.01,3,0.9772134109616543,0.9195818254925613,0.7805366439727673,0.7100652892668268,500
gd_lr1e-02,gd,0.01,4,0.9852439269223048,0.9276236429433052,0.8113736483780537,0.7616728202559598,500
gd_lr1e-03,gd,0.001,0,0.9126681389279261,0.893848009650181,0.750100120144173,0.6639452272974031,500
gd_lr1e-03,gd,0.001,1,0.910961654286288,0.8845999195818255,0.7517020424509411,0.6648479019570847,500
gd_lr1e-03,gd,0.001,2,0.9112627986348123,0.8986731001206273,0.7468962755306368,0.6604494261396229,500
gd_lr1e-03,gd,0.001,3,0.9105601284882554,0.8874145556895858,0.7513015618742491,0.6640426610104312,500
gd_lr1e-03,gd,0.001,4,0.9093555510941578,0.9014877362283876,0.7509010812975571,0.6639556037394041,500
gd_lr1e-04,gd,0.0001,0,0.5324232081911263,0.5375954965822276,0.46135362434921906,0.3756047852501176,500
gd_lr1e-04,gd,0.0001,1,0.5642441276852038,0.5621230398069964,0.4789747697236684,0.38726868008575094,500
gd_lr1e-04,gd,0.0001,2,0.5943585625376431,0.5958986731001207,0.5062074489387265,0.4407117760121425,500
gd_lr1e-04,gd,0.0001,3,0.5787994378638828,0.5818254925613189,0.47977573087705244,0.3965083837039568,500
gd_lr1e-04,gd,0.0001,4,0.5472796627183296,0.5468435866505831,0.4713656387665198,0.40834764672650686,500
momentum_lr1e-01,momentum,0.1,0,0.9941778759285284,0.9384800965018094,0.8321986383660392,0.7851370671487768,72
momentum_lr1e-01,momentum,0.1,1,0.9918691025898414,0.9388821873743466,0.8346015218261914,0.7874440395844682,64
momentum_lr1e-01,momentum,0.1,2,0.9889580405541056,0.9368717330116606,0.8334000800961153,0.7860375866381395,61
momentum_lr1e-01,momentum,0.1,3,0.9909656695442682,0.9372738238841978,0.8362034441329596,0.7890327930799433,62
momentum_lr1e-01,momentum,0.1,4,0.9901626179482031,0.9376759147567351,0.8346015218261914,0.7873191960495755,62
momentum_lr1e-02,momentum,0.01,0,0.9910660509937763,0.9316445516686771,0.8237885462555066,0.7767187472989552,132
momentum_lr1e-02,momentum,0.01,1,0.9935755872314797,0.9296340973059911,0.8313976772126552,0.7849337316974205,194
momentum_lr1e-02,momentum,0.01,2,0.990764906645252,0.9332529151588259,0.8245895074088907,0.7766250414291072,135
momentum_lr1e-02,momentum,0.01,3,0.9939771130295122,0.9340570969039003,0.8277933520224269,0.7808981116978768,163
momentum_lr1e-02,momentum,0.01,4,0.9893595663521382,0.9248090068355448,0.8241890268321986,0.7778094679556885,120
momentum_lr1e-03,momentum,0.001,0,0.9684802248544468,0.9211901889827101,0.7681217460953144,0.6794112768042516,500
momentum_lr1e-03,momentum,0.001,1,0.9699859465970688,0.916767189384801,0.7717260712855426,0.6890239411862229,500
momentum_lr1e-03,momentum,0.001,2,0.9819313390885365,0.9276236429433052,0.8069683620344413,0.7529439794161854,500
momentum_lr1e-03,momentum,0.001,3,0.9769122666131299,0.9195818254925613,0.7789347216659992,0.7077464544034807,500
momentum_lr1e-03,momentum,0.001,4,0.9851435454727966,0.9264173703256936,0.8105726872246696,0.7605768135291731,500
momentum_lr1e-04,momentum,0.0001,0,0.9126681389279261,0.893848009650181,0.750100120144173,0.6639452272974031,500
momentum_lr1e-04,momentum,0.0001,1,0.910961654286288,0.8845999195818255,0.7517020424509411,0.6648479019570847,500
momentum_lr1e-04,momentum,0.0001,2,0.9112627986348123,0.8986731001206273,0.7472967561073288,0.6608168634197864,500
momentum_lr1e-04,momentum,0.0001,3,0.9105601284882554,0.8874145556895858,0.7513015618742491,0.6640426610104312,500
momentum_lr1e-04,momentum,0.0001,4,0.9093555510941578,0.9014877362283876,0.7509010812975571,0.6639556037394041,500
adam_lr1e-01,adam,0.1,0,0.8172053804456937,0.8146361077603539,0.6756107328794554,0.6070697689736541,52
adam_lr1e-01,adam,0.1,1,0.817506524794218,0.8005629272215521,0.6808169803764518,0.607578663111983,52
adam_lr1e-01,adam,0.1,2,0.7988355751857057,0.7961399276236429,0.6792150580696836,0.6044435799282882,52
adam_lr1e-01,adam,0.1,3,0.8189118650873318,0.8194611982308002,0.6788145774929916,0.6005011797129062,82
adam_lr1e-01,adam,0.1,4,0.809777153182092,0.8198632891033374,0.6848217861433721,0.608054566624993,60
adam_lr1e-02,adam,0.01,0,0.9641638225255973,0.9320466425412143,0.816980376451742,0.771413516569121,80
adam_lr1e-02,adam,0.01,1,0.9609516161413371,0.9284278246883796,0.8205847016419704,0.7732813126275178,79
adam_lr1e-02,adam,0.01,2,0.9683798434049388,0.9412947326095698,0.8225871045254305,0.7758454962088381,86
adam_lr1e-02,adam,0.01,3,0.96777755470789,0.9304382790510656,0.8213856627953544,0.7743923715112965,137
adam_lr1e-02,adam,0.01,4,0.9693836579000201,0.9340570969039003,0.829395274329195,0.7822752743841421,114
adam_lr1e-03,adam,0.001,0,0.9949809275245934,0.9388821873743466,0.8313976772126552,0.7847583800648475,91
adam_lr1e-03,adam,0.001,1,0.9959847420196748,0.9308403699236028,0.8374048858630356,0.7904968786729675,99
adam_lr1e-03,adam,0.001,2,0.9899618550491869,0.9408926417370326,0.8317981577893472,0.7849965005066175,69
adam_lr1e-03,adam,0.001,3,0.9917687211403333,0.9308403699236028,0.8338005606728074,0.7862982128573299,73
adam_lr1e-03,adam,0.001,4,0.9868500301144348,0.9352633695215119,0.8305967160592711,0.7829558361089497,65
adam_lr1e-04,adam,0.0001,0,0.9931740614334471,0.9296340973059911,0.8297957549058871,0.7832321478734682,167
adam_lr1e-04,adam,0.0001,1,0.9899618550491869,0.9268194611982308,0.8229875851021226,0.7739203097826141,151
adam_lr1e-04,adam,0.0001,2,0.9936759686809877,0.9408926417370326,0.8297957549058871,0.781977964133279,177
adam_lr1e-04,adam,0.0001,3,0.9899618550491869,0.9248090068355448,0.8189827793352022,0.7703882163790048,146
adam_lr1e-04,adam,0.0001,4,0.992371009837382,0.9368717330116606,0.8317981577893472,0.7841946144855104,158
