config_name,optimizer,learning_rate,batch_size,batch_label,mean_val_auc_pr,std_val_auc_pr,mean_val_accuracy,std_val_accuracy,mean_val_precision,std_val_precision,mean_val_recall,std_val_recall,mean_val_f1,std_val_f1,mean_val_f2,std_val_f2,mean_val_cost,std_val_cost,mean_train_mse,std_train_mse,mean_val_mse,std_val_mse,gap_mse,mean_threshold,std_threshold,mean_stopped_at,mean_test_auc_pr,std_test_auc_pr,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_f2,std_test_f2,mean_test_cost,std_test_cost,mean_test_mse,std_test_mse,mean_elapsed_s,std_elapsed_s
online_lr1e-01,gd,0.1,1,online,0.9504680812045689,0.0005045149003536046,0.9603832967573332,0.0013069204475741158,0.7632437936927827,0.007813023707450245,0.9553686339400626,0.0029606624730009285,0.8483900116099201,0.003988508046663972,0.909437909813434,0.0014790306958158887,0.04479182233780896,0.0010983431182392588,0.0054885959286284,2.1746345766309696e-06,0.005421491439933005,6.08073402709198e-06,-6.710448869539626e-05,0.8098802956039035,0.005329238473555012,93.88000000000001,0.9504829352393258,0.0018786142755462287,0.9588967971530249,0.001630809855856134,0.761569694022455,0.00589829150057397,0.9384615384615383,0.0108785658644084,0.8407853959735757,0.006578689470555869,0.8967799326648445,0.008673498768342792,0.048220640569394985,0.002721896537505048,0.00558324114641772,3.2060005664202575e-05,157.2908722860131,28.104358769678637
online_lr1e-02,gd,0.01,1,online,0.9508008522054437,0.00011962043075227495,0.9618566756531404,0.00015372871934203887,0.7712001401652948,0.0008072223323226389,0.9553686339400626,0.0,0.8532330993756814,0.0005008879919900232,0.9116423301508286,0.00023101267675287258,0.04331832050881597,0.0001537287193420191,0.005426775579279512,1.6793518486559692e-06,0.005448724064725628,1.2198820038593937e-06,2.1948485446116398e-05,0.8131990736238889,0.0008557700380004251,95.55999999999999,0.9509855239881834,0.00045485980340886705,0.9601423487544484,0.0008717045347983084,0.771713729308666,0.00480993604149247,0.9307692307692308,0.0,0.8438034188034187,0.002878673843014354,0.8939144019130405,0.0012933456340296146,0.04786476868327401,0.0008717045347982914,0.0054949975036436794,4.691633268891069e-06,146.5487610624037,19.518144447072892
online_lr1e-03,gd,0.001,1,online,0.9510485583467835,2.6082152243436694e-05,0.9621389055067409,0.0002128298134391849,0.7727906424071138,0.001352479559394995,0.9550983636697923,0.0005405405405405351,0.8541054193190583,0.0006384588326511167,0.911895167936367,0.0001561915009577419,0.0430674632042351,0.00016002236565718382,0.005426098528229456,4.7425491542713144e-07,0.005464130171327896,1.8721414388615106e-07,3.80316430984403e-05,0.8122790162116802,0.000572659262501788,226.2,0.9510969935840918,1.3051695170702213e-05,0.9596085409252669,0.00043585226739920854,0.7687494960896558,0.002389649753098196,0.9307692307692308,0.0,0.8420344560588464,0.0014343218102824179,0.8931212228162595,0.0006457176134445821,0.0483985765124555,0.00043585226739914745,0.005490741885333781,2.7463406960774604e-07,386.77080989200806,50.73743530665762
online_lr1e-04,gd,0.0001,1,online,0.9547265762351218,7.141441406836987e-05,0.9648347316548996,0.001959557266849878,0.7911109568023718,0.012658085355112881,0.953747012318441,0.004634169783643858,0.8636664772416319,0.005797592151795885,0.9151753116804363,0.00013193366176754206,0.040528155588254074,0.0014220482583667813,0.005640080342234172,1.0202766530877903e-05,0.00568599608477238,1.0199238332977665e-05,4.5915742538207675e-05,0.7790043368269078,0.006960406242108049,500.0,0.9544405097130607,0.00013200857956604996,0.9597864768683275,0.0006657753357249311,0.7625534380176546,0.007989778977182744,0.9476923076923077,0.011305337274383969,0.844998545258061,0.0011201162301705606,0.9037244780482867,0.006024172526659568,0.0462633451957295,0.0007957537286476218,0.00558748121182614,4.563730415634792e-06,749.0003793372092,43.70011815710731
16_lr1e-01,gd,0.1,16,16,0.9509013070636756,6.900751489597235e-05,0.961919396125945,0.00011741167296414523,0.771517397017161,0.0005985972498657732,0.9553686339400626,0.0,0.8534316567630722,0.0003770415885815992,0.9117344126645369,0.0001755447615937849,0.043255600036011456,0.00011741167296403398,0.005426272368616568,1.3498149163982877e-06,0.005455726520547129,4.763449699946255e-07,2.945415193055974e-05,0.8130135858140317,0.0006064622926894479,100.43999999999998,0.951045902900713,0.00021693682279970214,0.9596085409252669,0.00043585226739920854,0.7687494960896558,0.002389649753098196,0.9307692307692308,0.0,0.8420344560588464,0.0014343218102824179,0.8931212228162597,0.0006457176134445821,0.0483985765124555,0.00043585226739914745,0.005488565662028639,4.18849888813995e-06,9.686905678598123,0.7274410518785933
16_lr1e-02,gd,0.01,16,16,0.9510870035727284,4.033231145459009e-05,0.9621703273062299,6.27943485086213e-05,0.7728306539031938,0.00033246149375183444,0.9553686339400626,0.0,0.8542429111555618,0.0002069539418937172,0.9121073469746394,9.56038923487057e-05,0.04300466885572647,6.279434850863797e-05,0.005426214408123724,5.443821364867226e-07,0.005464652395263464,2.127148281055523e-07,3.843798713974046e-05,0.811353171243568,0.00028920815985551115,310.72,0.9510279843579831,0.00010409623851172133,0.9590747330960854,0.0,0.7658227848101266,0.0,0.9307692307692308,0.0,0.8402777777777779,0.0,0.892330383480826,0.0,0.048932384341637,0.0,0.0054907753635245,2.46288549855984e-07,30.04714549759301,0.8485502515913028
16_lr1e-03,gd,0.001,16,16,0.9575858287810736,0.0001939676876704871,0.9612585785314849,0.0014974549384854166,0.7660700865255766,0.00848938732451926,0.9656572899430043,0.003685995053239427,0.853322726540821,0.004139000005238907,0.9170011249195973,0.0004192113657732235,0.04272448166148538,0.0010800419714448502,0.006082938327788297,3.521769982369726e-05,0.006128955943834908,3.5345694585998175e-05,4.6017616046612096e-05,0.7365527030114245,0.005449332872287236,500.0,0.9586007524198739,0.00031225549129106235,0.9601423487544484,0.0014234875444839813,0.7549033342673017,0.008265620622022985,0.9707692307692307,0.003076923076923022,0.8492930016108824,0.004116699480937891,0.9182198891117143,0.0002949156541229847,0.043238434163701,0.0010676156583629998,0.0058650570239609,1.934453335257959e-05,48.21834461464241,0.17770057194794864
16_lr1e-04,gd,0.0001,16,16,0.9508586819660056,0.006268465817743706,0.9708294740128991,0.004473872735367947,0.8600038522433211,0.039359744455677824,0.9033995219709505,0.016868433694180986,0.8791317416485818,0.014156778081959925,0.8929748400986732,0.005490604036410378,0.04036806971643247,0.002833923951180241,0.015204159160035535,0.001165446364592389,0.015240989059899738,0.0011680739842245091,3.682989986420089e-05,0.6416425992873083,0.022900800187680325,500.0,0.9767471831486463,0.00513538559441605,0.9736654804270464,0.007219025898612391,0.8358927144413328,0.04637157311021724,0.9661538461538461,0.012498520622516955,0.8954060731904441,0.02475830715035916,0.9362797303923724,0.01073582337042037,0.03024911032028464,0.006775598848633361,0.0131525353694453,0.0008298227106931836,50.4322477367823,3.973255651736615
32_lr1e-01,gd,0.1,32,32,0.9509736662021819,4.415218308541859e-05,0.9618879743650535,9.924765140450058e-05,0.771352101001491,0.0005210507176162895,0.9553686339400626,0.0,0.8533261076776716,0.00032415055949812263,0.911685004857223,0.0001496779553575927,0.043287021796902934,9.924765140454007e-05,0.005425280073441452,5.612993524005039e-07,0.005460159402738028,5.588451723849766e-07,3.4879329296575755e-05,0.8129434431031808,0.00024149628415418025,117.52000000000001,0.9509571899141861,7.660842929341581e-05,0.959964412811388,0.0,0.7707006369426752,0.0,0.9307692307692308,0.0,0.843205574912892,0.0,0.8936484490398818,0.0,0.0480427046263345,0.0,0.005491651327535,1.3071802756403227e-06,6.993420834404242,0.9856492278740862
32_lr1e-02,gd,0.01,32,32,0.9511994323008667,3.143280098350722e-05,0.9624525819394553,7.684673702850899e-05,0.774322093870252,0.00039839344144933084,0.9553686339400626,0.0,0.8551627990939302,0.00024758870404119397,0.9125295246285663,0.00011425342451093628,0.042722414222501094,7.684673702849539e-05,0.005427357936076884,3.106235770858575e-07,0.005467225836728488,2.330992838373918e-07,3.986790065160419e-05,0.811311335902054,0.00032885607561770777,463.91999999999996,0.9509703279518217,4.8495781578550275e-05,0.9603202846975091,0.00043585226739909985,0.7726767924220154,0.002420286288394273,0.9307692307692308,0.0,0.8443848834092738,0.0014443520327319362,0.8941772351044026,0.0006476280205850324,0.0476868327402135,0.00043585226739914403,0.0054906192715942995,1.562610575647856e-07,30.164931364188668,2.9708373616896258
