config_name,architecture,n_params,seed,train_acc,val_acc,test_acc,macro_f1,epochs,elapsed_s
1L-32,"[784, 32, 10]",25450,0,0.9936759686809877,0.9268194611982308,0.8281938325991189,0.7818437022590834,117,39.03826186799779
1L-32,"[784, 32, 10]",25450,1,0.9927725356354146,0.9260152794531564,0.8277933520224269,0.7811680207492996,111,36.715359158002684
1L-32,"[784, 32, 10]",25450,2,0.9883557518570568,0.9324487334137516,0.828594313175811,0.7819677728219686,88,36.99130909700034
1L-32,"[784, 32, 10]",25450,3,0.9927725356354146,0.9296340973059911,0.8317981577893472,0.7850786239856099,124,46.62302780400205
1L-32,"[784, 32, 10]",25450,4,0.9876530817104999,0.9332529151588259,0.8281938325991189,0.780946141493075,82,39.93181962900053
1L-64,"[784, 64, 10]",50890,0,0.9976912266613129,0.9420989143546441,0.8394072887464958,0.7924610689764849,155,102.25259833999735
1L-64,"[784, 64, 10]",50890,1,0.9977916081108211,0.9425010052271814,0.8398077693231878,0.7922043286502728,115,69.67098359400188
1L-64,"[784, 64, 10]",50890,2,0.9975908452118049,0.9457177322074789,0.841810172206648,0.7953038444040648,139,82.97398144099861
1L-64,"[784, 64, 10]",50890,3,0.9958843605701666,0.9404905508644954,0.8370044052863436,0.790113701587256,104,55.498492859998805
1L-64,"[784, 64, 10]",50890,4,0.9957839791206585,0.9408926417370326,0.8398077693231878,0.7934387771273986,100,53.913606058998994
1L-128,"[784, 128, 10]",101770,0,0.9986950411563943,0.9469240048250904,0.8446135362434922,0.7984796942458475,147,124.34954710699822
1L-128,"[784, 128, 10]",101770,1,0.9982935153583617,0.9445114595898673,0.842611133360032,0.7957063858334188,90,79.55384400899857
1L-128,"[784, 128, 10]",101770,2,0.9975908452118049,0.9473260956976277,0.8450140168201842,0.7979274536868369,85,73.84293409500242
1L-128,"[784, 128, 10]",101770,3,0.998494278257378,0.9437072778447929,0.84221065278334,0.7952601470527523,116,99.56966981499863
1L-128,"[784, 128, 10]",101770,4,0.9979923710098374,0.9537595496582227,0.8434120945134161,0.7963758121633917,94,79.47662616300295
