seed,architecture,hidden_activation,optimizer,batch_size,learning_rate,train_acc,val_acc,test_acc,macro_f1,epochs
0,"[784, 128, 64, 10]",relu,adam,32,0.001,0.9976912266613129,0.9654201849618014,0.8654385262314778,0.8192722662672882,138
1,"[784, 128, 64, 10]",relu,adam,32,0.001,0.9975908452118049,0.962605548854041,0.8658390068081698,0.8191749400546049,85
2,"[784, 128, 64, 10]",relu,adam,32,0.001,0.9964866492672154,0.9589867310012062,0.8622346816179415,0.8153893286261121,71
3,"[784, 128, 64, 10]",relu,adam,32,0.001,0.9963862678177073,0.9577804583835947,0.8618342010412495,0.8156931772481532,77
4,"[784, 128, 64, 10]",relu,adam,32,0.001,0.9966874121662317,0.9634097305991154,0.8646375650780938,0.8183543622436609,73
