config_name,seed,epoch,train_loss,val_loss
tanh_1L-256,0,1,0.15598189027708032,0.20794345640937664
tanh_1L-256,0,2,0.09516872066694965,0.14447239040598944
tanh_1L-256,0,3,0.07067686742319922,0.12187476001090974
tanh_1L-256,0,4,0.05600191217300435,0.11020457096165888
tanh_1L-256,0,5,0.046496442710833544,0.10245623445559
tanh_1L-256,0,6,0.03970801056328997,0.09583181876797274
tanh_1L-256,0,7,0.03441422253778431,0.09225481218222695
tanh_1L-256,0,8,0.03053265933759657,0.08874423594645833
tanh_1L-256,0,9,0.027047924218978246,0.08565731180204263
tanh_1L-256,0,10,0.02505412525531566,0.083491024127187
tanh_1L-256,0,11,0.023167561713100568,0.08154634584646532
tanh_1L-256,0,12,0.021173666102135252,0.07800621165700011
tanh_1L-256,0,13,0.019176932099402966,0.07416506698246154
tanh_1L-256,0,14,0.016867484071986148,0.07137033419632935
tanh_1L-256,0,15,0.015389167913196299,0.06797758036489457
tanh_1L-256,0,16,0.014147951510658872,0.06612404453148167
tanh_1L-256,0,17,0.012320244186738922,0.06115786948728529
tanh_1L-256,0,18,0.010134613940113958,0.060143548441888545
tanh_1L-256,0,19,0.00932621656337736,0.06251440014434767
tanh_1L-256,0,20,0.011959797963566107,0.0649860953599619
tanh_1L-256,0,21,0.006470106204473412,0.056005845680730415
tanh_1L-256,0,22,0.0038412202592927754,0.05364901360435247
tanh_1L-256,0,23,0.0024521916953624567,0.05098355803351709
tanh_1L-256,0,24,0.0020234160411047647,0.04921298194761201
tanh_1L-256,0,25,0.0018262674544796552,0.04881661930800603
tanh_1L-256,0,26,0.0015444075676201241,0.04789444042859309
tanh_1L-256,0,27,0.0013596200302573305,0.04789236461232145
tanh_1L-256,0,28,0.0012647630490700492,0.04785410297179385
tanh_1L-256,0,29,0.001189372951350673,0.04786843320319465
tanh_1L-256,0,30,0.0011128191922854754,0.048122398752891316
tanh_1L-256,0,31,0.0011470965181646703,0.04883247877691336
tanh_1L-256,0,32,0.010146247308843451,0.062128621906621696
tanh_1L-256,0,33,0.003213221074225096,0.05226250732356476
tanh_1L-256,0,34,0.0014518885894513683,0.05185949601425035
tanh_1L-256,0,35,0.0010519628932267936,0.04982639393607539
tanh_1L-256,0,36,0.0009439714612226294,0.05012137868475457
tanh_1L-256,0,37,0.0008202415306802296,0.049405735291311634
tanh_1L-256,0,38,0.0007720290400304201,0.0489408484022652
tanh_1L-256,0,39,0.0007439840488946632,0.0489186212707347
tanh_1L-256,0,40,0.0007265621536432096,0.04875497064418337
tanh_1L-256,0,41,0.000708325516526251,0.048810146815700485
tanh_1L-256,0,42,0.0006580674500374124,0.04876078162295816
tanh_1L-256,0,43,0.0006115597720806127,0.04841940481561447
tanh_1L-256,0,44,0.0005947458347300284,0.04817859720361909
tanh_1L-256,0,45,0.0005856407516909132,0.04815451263212744
tanh_1L-256,0,46,0.0005548800908889713,0.047873557363492796
tanh_1L-256,0,47,0.0006085746054671113,0.04796156130507172
tanh_1L-256,0,48,0.0005138165963142813,0.047858266912310245
tanh_1L-256,0,49,0.002493105929467374,0.05392073484145175
tanh_1L-256,0,50,0.008170864114015608,0.058480898397611045
tanh_1L-256,0,51,0.002030325883296772,0.055407529122784224
tanh_1L-256,0,52,0.0009121105163762393,0.05352702771305707
tanh_1L-256,0,53,0.0006513236500548217,0.052400881154038764
tanh_1L-256,0,54,0.000580280493491515,0.052117842992129446
tanh_1L-256,0,55,0.0005509873820642529,0.05192115003679683
tanh_1L-256,0,56,0.0005349567500882058,0.05183326869333111
tanh_1L-256,0,57,0.000523376758839174,0.05186613359951348
tanh_1L-256,0,58,0.0005140750710417132,0.05172728584468189
tanh_1L-256,0,59,0.0005062394283257643,0.051772106940949886
tanh_1L-256,0,60,0.000499527107861353,0.05178305038193255
tanh_1L-256,0,61,0.0004937302827592825,0.05177474948650973
tanh_1L-256,0,62,0.00048894089545298,0.051700094747413015
tanh_1L-256,0,63,0.00048445596518403107,0.05177711101040197
tanh_1L-256,0,64,0.00048130996750133303,0.05180485813243771
tanh_1L-256,0,65,0.00047748467361058124,0.05165993970201481
tanh_1L-256,0,66,0.00047394189954313873,0.05153873694934071
tanh_1L-256,0,67,0.0004691289356320006,0.05148892050952072
tanh_1L-256,0,68,0.00042469857262670397,0.05140411557993253
tanh_1L-256,0,69,0.0004179910074078372,0.05146682872563369
tanh_1L-256,0,70,0.0004154746549487064,0.05156744287457761
tanh_1L-256,0,71,0.0004136058688247203,0.051515065730696544
tanh_1L-256,0,72,0.0004121079286477488,0.051588609922086665
tanh_1L-256,0,73,0.0004108198503111376,0.05159262627480345
tanh_1L-256,0,74,0.0004099987203154738,0.051729723160748066
tanh_1L-256,0,75,0.00040872541900484284,0.051621191133212695
tanh_1L-256,0,76,0.0004078512899773809,0.05174008780271927
tanh_1L-256,0,77,0.0004070115128092735,0.05177863596065827
tanh_1L-256,0,78,0.00040628204371226937,0.05176889512452704
tanh_1L-256,1,1,0.16325564794932498,0.19479312818373684
tanh_1L-256,1,2,0.1029732436586677,0.13680510634966134
tanh_1L-256,1,3,0.07624650362262211,0.11585667349265336
tanh_1L-256,1,4,0.05889397556762577,0.10327411498867665
tanh_1L-256,1,5,0.04779178095378669,0.09428143258217118
tanh_1L-256,1,6,0.04068420051970759,0.08815418413891477
tanh_1L-256,1,7,0.03542719038527208,0.08339727106757523
tanh_1L-256,1,8,0.031156409346225076,0.07919910301282243
tanh_1L-256,1,9,0.028546710879412504,0.07581639298733102
tanh_1L-256,1,10,0.02641065406942387,0.0732609266439673
tanh_1L-256,1,11,0.023982219890580143,0.0708506498601738
tanh_1L-256,1,12,0.02116104302926023,0.06772795385922331
tanh_1L-256,1,13,0.019296121077317763,0.0664647547218318
tanh_1L-256,1,14,0.017189459238103784,0.06434820418101922
tanh_1L-256,1,15,0.014045330056044561,0.06284439631278055
tanh_1L-256,1,16,0.012231663692076672,0.06407128086163377
tanh_1L-256,1,17,0.011687550974999886,0.061692286002062516
tanh_1L-256,1,18,0.009841124391286753,0.061620672402137124
tanh_1L-256,1,19,0.007467992513589059,0.05606724710393356
tanh_1L-256,1,20,0.005185001457930101,0.05403964791409673
tanh_1L-256,1,21,0.003973562212066275,0.05345509835533537
tanh_1L-256,1,22,0.003042700732849292,0.05294035421928459
tanh_1L-256,1,23,0.0024797523958137026,0.05255629408441108
tanh_1L-256,1,24,0.0021280371656017868,0.05246423981241227
tanh_1L-256,1,25,0.0019322953752841793,0.051810947577793816
tanh_1L-256,1,26,0.0016469553589576003,0.05133654777528329
tanh_1L-256,1,27,0.001559106669594246,0.050591457335079616
tanh_1L-256,1,28,0.0012908540471652712,0.050928017887775304
tanh_1L-256,1,29,0.0012100742475263247,0.050473877600611
tanh_1L-256,1,30,0.0011253905986835133,0.052078856304767863
tanh_1L-256,1,31,0.0010835744560950553,0.05211870209282589
tanh_1L-256,1,32,0.00888023798924706,0.06360468727407978
tanh_1L-256,1,33,0.008923747432199746,0.06077385906256298
tanh_1L-256,1,34,0.00287971675387602,0.053256683155146846
tanh_1L-256,1,35,0.0014635952609344098,0.051500267748908604
tanh_1L-256,1,36,0.0012004827397850753,0.05089664808930609
tanh_1L-256,1,37,0.0011092253425478184,0.050514452922422494
tanh_1L-256,1,38,0.0010257539075168064,0.050334914265353525
tanh_1L-256,1,39,0.0009724825926850295,0.05016453509370769
tanh_1L-256,1,40,0.0008630971703418693,0.05009441257820823
tanh_1L-256,1,41,0.0008069377143512785,0.04993379827670248
tanh_1L-256,1,42,0.0007513994509189464,0.04986155166435847
tanh_1L-256,1,43,0.0007046173395444342,0.04963407632702796
tanh_1L-256,1,44,0.0006751902863965561,0.04957698310805371
tanh_1L-256,1,45,0.0006593685216580993,0.04954362598630472
tanh_1L-256,1,46,0.0006457156848921913,0.049587150401354786
tanh_1L-256,1,47,0.000592097970303718,0.049746501561228784
tanh_1L-256,1,48,0.0005608739117246571,0.04969560576908063
tanh_1L-256,1,49,0.0005708642336077212,0.04971606670974941
