strategy,strategy_label,scaler,optimizer,learning_rate,batch_size,batch_label,mean_val_auc_pr,std_val_auc_pr,mean_val_accuracy,std_val_accuracy,mean_val_precision,std_val_precision,mean_val_recall,std_val_recall,mean_val_f1,std_val_f1,mean_val_f2,std_val_f2,mean_val_cost,std_val_cost,mean_train_mse,std_train_mse,mean_val_mse,std_val_mse,gap_mse,mean_threshold,std_threshold,mean_stopped_at,mean_test_auc_pr,std_test_auc_pr,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_f2,std_test_f2,mean_test_cost,std_test_cost,mean_test_mse,std_test_mse,mean_elapsed_s,std_elapsed_s
S1,S1 Holdout,z-score,gd,0.001,32,32,0.9596716771091544,0.001012397310848891,0.9595811518324607,0.01039975624539074,0.7682072145504291,0.06890639329966185,0.9472727272727273,0.02398346537867803,0.8456543385834461,0.031502096602237344,0.9029726722377781,0.0025028793421261832,0.0464921465968586,0.007683324116374518,0.00728316723654016,0.0001275021857028323,0.00792423800053816,0.0001204987483823254,0.0006410707639979997,0.7040759551392184,0.03486537235448971,500.0,0.9663523873000817,0.0007809753811831153,0.95711743772242,0.00926976247518229,0.7455777993646031,0.05769299252960369,0.9707692307692308,0.02637912030689589,0.8411530016329263,0.026135667238159292,0.9136488450789584,0.0024490516204225834,0.0462633451957295,0.006240454774644171,0.0068829417904141404,8.625772952358873e-05,10.310657398197872,0.09847447813869628
S2,S2 Repeated Holdout,z-score,gd,0.001,32,32,0.9618111279293833,0.000396258573683283,0.967958115183246,0.001951131258446424,0.8114154827444015,0.014328736559649762,0.9501818181818182,0.004393834899488941,0.8735560552534276,0.006328835960889595,0.9174511405016261,0.0005787230624233969,0.03778010471204184,0.0014545554223401483,0.007321874689251763,0.00012145233624115065,0.007319125592257067,0.00011659131244743435,-2.74909699469611e-06,0.7124478163324537,0.008598252604416204,500.0,0.9663523873000817,0.0007809753811831153,0.9676156583629894,0.00165011005257931,0.7926552335271034,0.010225111798309164,0.9753846153846153,0.003076923076923022,0.8745261790598523,0.00537228754499193,0.9323563746876908,0.0019469060408835058,0.0352313167259786,0.0014455584349886202,0.0068829417904141404,8.625772952358873e-05,29.704743488989333,0.1994925167951426
S3,S3 5-Fold CV,z-score,gd,0.001,32,32,0.9610624053647395,0.00033062230619263834,0.963048488495953,0.0019993293607814488,0.7808089711583557,0.011958785244321904,0.9548023533737819,0.005105495170853976,0.857961029189721,0.0060353055310858085,0.9131890008822541,0.0028079922676294074,0.04218981879706303,0.0017343458608570336,0.007459703631150468,0.00013246531388783859,0.007505264938882672,0.00013289832419113325,4.5561307732204e-05,0.6953386926006979,0.006035886362836777,500.0,0.9663523873000817,0.0007809753811831153,0.9610320284697508,0.003791330205100022,0.7555823632682105,0.01971601231261411,0.9815384615384616,0.003768445758128116,0.8536978653726554,0.011959528433129075,0.9260094024447051,0.005156767124020471,0.04110320284697504,0.003620460845084652,0.0068829417904141404,8.625772952358873e-05,27.98691677077186,0.2374236828977273
